"year","month","revenue"
"2017","1","137188.49"
"2018","1","1106050.14"
"2017","2","286280.62"
"2018","2","986740.98"
"2017","3","432048.59"
"2018","3","1155061.00"
"2017","4","412422.24"
"2018","4","1159373.91"
"2017","5","586101.32"
"2018","5","1149695.24"
"2017","6","502768.86"
"2018","6","1021812.47"
"2017","7","584894.02"
"2018","7","1058640.41"
"2017","8","668080.71"
"2018","8","1003006.98"
"2016","9","354.75"
"2017","9","720294.63"
"2018","9","166.46"
"2016","10","56808.84"
"2017","10","769243.22"
"2017","11","1178734.25"
"2016","12","19.62"
"2017","12","862534.93"
